en,fr,it,de,es,ko,kana
,,,,,,
"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.","While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.","While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.","While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.","While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.","While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.","While it is young, it uses the nutrients that are stored in the seed on its back in order to grow."
Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.
A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.
"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.","From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.","From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.","From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.","From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.","From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.","From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out."
"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.","If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.","If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.","If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.","If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.","If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.","If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings."
"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.","Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.","Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.","Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.","Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.","Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.","Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.","When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.","When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.","When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.","When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.","When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.","When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth."
It cleverly controls its furry ears and tail to maintain its balance while swimming.,It cleverly controls its furry ears and tail to maintain its balance while swimming.,It cleverly controls its furry ears and tail to maintain its balance while swimming.,It cleverly controls its furry ears and tail to maintain its balance while swimming.,It cleverly controls its furry ears and tail to maintain its balance while swimming.,It cleverly controls its furry ears and tail to maintain its balance while swimming.,It cleverly controls its furry ears and tail to maintain its balance while swimming.
The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.
